ГБОУ Школа № 1293	1	183	1	0	0	121552, г. Москва, ул. Оршанская, д. 10, корп. 1	sch1293.mskobr.ru	https://avatars.mds.yandex.net/get-altay/367512/2a0000015b96a6bb1ab0b566d288069d493c/orig	0	0	0	0	0	0	0	0	0	0	1	0
ГБОУ Школа № 1504	1	195	0	1	0	111555, г. Москва, ул. Сталеваров, 10А	gym1504.mskobr.ru	https://avatars.mds.yandex.net/get-altay/4432502/2a000001815cf616e95ca5901ea4453dc433/orig	0	0	0	0	0	0	0	0	0	1	0	0
ГБОУ Школа № 627	3	199	0	3	0	115054, г. Москва, ул. Дубининская, д. 42	sch627.mskobr.ru	https://detinform.ru/images/detailed/8/627.jpg	0	0	0	0	0	0	0	0	0	1	1	1
ГБОУ Школа № 1245	1	204	0	1	0	117534, г. Москва, ул. Кировоградская, д. 42, корп. 2	sch1245u.mskobr.ru	https://avatars.mds.yandex.net/get-altay/7456447/2a00000183167893b33862c92a26b9ca8149/orig	0	0	0	0	0	0	0	0	0	0	1	1
ГБОУ Школа № 1231	1	223	0	1	0	119002, г. Москва, Спасопесковский переулок., д. 6, стр. 7	sch1231.mskobr.ru	https://smapse.ru/storage/2021/04/11390340-101236100218929-6739121928933804344-n.jpg	0	0	0	0	0	0	0	0	0	1	1	0
ГБОУ Школа № 1573	1	238	0	1	0	127253, г. Москва, ул. Псковская, д. 11	gum1573.mskobr.ru	https://avatars.mds.yandex.net/get-altay/2436798/2a00000181dc78390fda15b1a9a49be98ee9/orig	0	0	0	0	0	0	0	0	0	1	1	0
ГБОУ Школа № 1950	2	248	0	2	0	123056, г. Москва, ул. Зоологическая, д. 28, стр. 1	sch1950.mskobr.ru	https://sch1950.mskobr.ru/files/upload_users_files/6df0d8c2542753108aa4c53da092b3e5.jpg	0	0	0	0	0	0	0	0	0	0	0	0
ГБОУ Школа № 507	1	257	0	1	0	115446, г. Москва, ул. Садовники, д. 12	lyc507u.mskobr.ru	https://avatars.mds.yandex.net/get-altay/1579247/2a0000016e73df86d0ba183282e6d65ca213/L_height	0	0	0	0	0	0	0	0	0	0	1	0
ГБОУ Школа № 1101	1	280	0	1	0	117133, г. Москва, ул. Академика Варги, д. 34	sch1101uz.mskobr.ru	https://avatars.mds.yandex.net/get-altay/467304/2a0000015e4cd56b7a9b06460d5426867ed2/orig	0	0	0	0	0	0	0	0	0	1	1	1
ГБОУ Школа № 814	1	288	0	1	0	119501, г. Москва, ул. Веерная, д. 5, корп. 3	sch814z.mskobr.ru	https://avatars.mds.yandex.net/get-altay/932730/2a00000165838c80635ff053fb5e301f1e9a/L_height	0	0	0	0	0	0	0	0	0	1	1	0
ГБОУ Школа № 1238	2	291	2	0	2	119634, г. Москва, ул. Чоботовская, д. 19	sch1238.mskobr.ru	https://sch1238.mskobr.ru/images/4%D0%91.jpg	0	0	2	0	0	0	0	0	0	1	0	0
ГБОУ Школа № 1375	1	292	0	1	0	115533, г. Москва, Нагатинская наб., д. 24	sch1375u.mskobr.ru	https://smapse.ru/storage/2021/06/1-13.jpg	0	0	0	0	0	0	0	0	0	1	1	1
Лицей НИУ ВШЭ	67	-	16	51	5	109240, г. Москва, ул. Солянка, д. 14А, стр. 1 	school.hse.ru	https://avatars.mds.yandex.net/get-altay/5106183/2a00000181c49c9ed2437139363ff77cea5b/L_height	1	0	1	1	1	0	0	1	1	1	1	1
АНО "Общеобразовательная школа Центра педагогического мастерства"	19	-	18	1	15	119270, г. Москва, ул. Хамовнический вал, д.6	школа-цпм.рф	https://static.tildacdn.com/tild3166-3764-4332-b033-393165663533/88.png	1	0	6	4	1	2	0	1	1	1	1	1
ГБОУ Школа № 67	7	-	1	6	0	121170, г. Москва, Проезд Кутузовский, д. 10, стр. 1	sch67.mskobr.ru	https://upload.wikimedia.org/wikipedia/commons/9/90/Gimnazia1567.jpg	0	0	0	0	0	0	0	0	0	0	1	0
ГБОУ Школа № 2107	5	-	4	1	2	129110, г. Москва, ул. Большая Переяславская, д. 1, стр. 1	sch2107.mskobr.ru	https://sch2107.mskobr.ru/files/pedsovet/%D1%88%D0%BA%D0%BA%D0%BE%D0%BC%D0%B0%D1%80%D0%BE%D0%B2%D0%B0400.jpg	1	0	0	1	0	0	0	0	0	1	1	1
